name,Location_Unique,Lat,Long,Status,review_datetime_utc,Sentiment_Score_mean,Sentiment_Score_median,Sentiment_Score_std,review_rating_mean,review_rating_median,review_rating_std
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2023-09-01,0.743,0.743,0.0,3.0,3.0,0.0
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2023-06-01,0.3647,0.3647,0.0,4.666666666666667,5.0,0.5773502691896258
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2023-03-01,,,,5.0,5.0,0.0
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2023-01-01,,,,4.0,4.0,0.0
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2022-08-01,0.835,0.835,0.0,5.0,5.0,0.0
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2022-06-01,0.38585,0.38585,0.5456743030416588,5.0,5.0,0.0
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2022-03-01,0.4961333333333333,0.5106,0.06855452817526597,4.25,4.0,0.5
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2021-12-01,0.5719,0.5719,0.0,4.0,4.0,0.0
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2021-09-01,,,,5.0,5.0,0.0
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2021-08-01,,,,5.0,5.0,0.0
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2021-06-01,0.64215,0.64215,0.2853175862087719,4.5,4.5,0.7071067811865476
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2023-08-01,0.765,0.765,0.0,4.0,4.0,1.4142135623730951
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2023-06-01,,,,5.0,5.0,0.0
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2023-02-01,0.3818,0.3818,0.0,5.0,5.0,0.0
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2022-10-01,0.9379,0.9379,0.0,4.0,4.0,0.0
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2022-09-01,-0.0459,0.0,0.2740482256829991,4.25,5.0,1.5
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2022-08-01,0.14049999999999999,0.0,0.24335313846342727,3.8,5.0,1.7888543819998317
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2022-07-01,0.6835,0.6835,0.049356053326821074,4.8,5.0,0.44721359549995804
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2022-06-01,0.3804666666666667,0.705,0.6015003352728353,4.666666666666667,5.0,0.5773502691896258
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2022-05-01,0.8642,0.8642,0.0,3.0,3.0,0.0
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2022-03-01,,,,3.5,3.5,0.7071067811865476
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2022-02-01,0.1348,0.1348,0.0,5.0,5.0,0.0
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2021-11-01,0.8012,0.8012,0.0,5.0,5.0,0.0
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2021-09-01,0.08385000000000004,0.08385000000000004,1.0955205360923181,4.5,4.5,0.7071067811865476
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2021-08-01,,,,5.0,5.0,0.0
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2021-06-01,0.61882,0.765,0.3560633047647567,4.625,5.0,1.0606601717798212
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2021-05-01,,,,5.0,5.0,0.0
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2021-03-01,,,,5.0,5.0,0.0
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2020-10-01,0.3404,0.3404,0.4813982966318015,4.666666666666667,5.0,0.5773502691896257
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2020-09-01,0.2787,0.2787,0.3941413198333816,4.0,4.0,1.4142135623730951
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2020-08-01,0.6597,0.6597,0.0,4.5,4.5,0.7071067811865476
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2019-09-01,,,,5.0,5.0,0.0
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2019-07-01,0.83205,0.83205,0.04306280297426075,4.666666666666667,5.0,0.5773502691896257
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2023-12-01,0.0,0.0,0.0,2.0,2.0,0.0
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2023-11-01,0.6448272727272727,0.8217,0.39757645828421245,4.833333333333333,5.0,0.7071067811865475
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2023-10-01,0.5589090909090909,0.836,0.6199660820634391,4.666666666666667,5.0,1.0465362369445672
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2023-09-01,0.6807624999999999,0.8562000000000001,0.46948324764727073,4.5625,5.0,0.8139410298049854
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2023-08-01,0.7181533333333333,0.8176,0.3168254112884496,4.7407407407407405,5.0,0.5256931389634797
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2023-07-01,0.70153,0.8512,0.3245303822448678,4.473684210526316,5.0,0.9048278567177283
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2023-06-01,0.55152,0.70835,0.4279972450586309,4.363636363636363,5.0,0.7895420339517227
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2023-05-01,0.48949090909090914,0.6908,0.5527181930324809,4.230769230769231,4.5,1.0318020084373671
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2023-04-01,0.6031777777777778,0.7906,0.6103143386357922,4.4375,5.0,1.3647344063956182
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2023-03-01,0.5524875,0.52615,0.35126699831772246,4.533333333333333,5.0,1.0600988273786194
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2023-02-01,0.5201666666666667,0.8082,0.646305518053704,4.142857142857143,5.0,1.4638501094227996
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2023-01-01,,,,5.0,5.0,0.0
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2022-12-01,0.82574,0.9113,0.19792217999338357,4.6,5.0,0.7367883976130072
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2022-11-01,0.52476,0.7501,0.5729472907694041,4.583333333333333,5.0,1.164500152881315
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2022-10-01,0.6175833333333333,0.8824,0.49888137200474153,4.315789473684211,5.0,1.2042808632793343
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2022-09-01,0.6437125,0.7598,0.380916583825558,4.3,5.0,1.1285761872936693
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2022-08-01,0.7294352941176471,0.8606,0.2690371859547869,4.608695652173913,5.0,0.7827184815397384
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2022-07-01,0.6651714285714286,0.7814,0.4124778361011962,4.448275862068965,5.0,1.020721274972882
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2022-06-01,0.7422124999999999,0.8994500000000001,0.3645156411987988,4.55,5.0,0.8870412083230169
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2022-05-01,0.7284666666666667,0.855,0.214870268999692,4.555555555555555,5.0,0.783823376129674
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2022-04-01,0.55586,0.88445,0.6040654839022879,4.24,5.0,1.267543556122103
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2022-03-01,0.7528625,0.7474000000000001,0.17985899189166416,4.857142857142857,5.0,0.36313651960128157
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2022-02-01,0.7004785714285714,0.8673500000000001,0.3902056542163601,4.117647058823529,5.0,1.536324873731809
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2022-01-01,-0.6058,-0.6058,0.0,4.2,5.0,1.3038404810405297
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2021-12-01,0.7213499999999999,0.7213499999999999,0.3216628747617604,4.444444444444445,5.0,0.8819171036881969
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2021-11-01,0.5233625,0.7169,0.39723369134014086,4.75,5.0,0.4472135954999578
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2021-10-01,0.5336000000000001,0.784,0.5372248505048887,4.5,5.0,1.294785923709126
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2021-09-01,0.6547736842105263,0.7184,0.3039683039801377,4.666666666666667,5.0,0.8441822541139558
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2021-08-01,0.6975450000000001,0.7799499999999999,0.29867311911008554,4.628571428571429,5.0,0.6896595189663087
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2021-07-01,0.44937894736842104,0.6249,0.5472053347885533,4.275862068965517,5.0,1.2788541669383442
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2021-06-01,0.711,0.785,0.26598301700171256,4.75,5.0,0.5853140973807079
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2021-05-01,0.48396666666666666,0.70715,0.46543542480849764,4.615384615384615,5.0,1.12089707663561
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2021-04-01,0.5822,0.5574,0.24614641983989938,4.5,4.5,0.5477225575051662
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2021-03-01,0.6854,0.6854,0.3732109591102598,5.0,5.0,0.0
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2021-02-01,0.8625,0.8625,0.0,4.75,5.0,0.5
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2021-01-01,,,,5.0,5.0,0.0
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2020-12-01,0.8123,0.8123,0.24805305884024087,4.666666666666667,5.0,0.5773502691896257
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2020-11-01,0.80465,0.80465,0.06682159082212877,4.428571428571429,5.0,0.7867957924694432
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2020-10-01,0.6980500000000001,0.6980500000000001,0.10344972208759186,4.8,5.0,0.44721359549995787
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2020-09-01,0.7549416666666667,0.8074,0.17591609807122846,4.782608695652174,5.0,0.5184348595120822
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2020-08-01,0.6313642857142857,0.769,0.30225518156058095,4.705882352941177,5.0,0.6755205294731985
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2020-07-01,0.4567571428571429,0.636,0.4918707684515749,4.705882352941177,5.0,0.985184366143778
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2020-06-01,0.67242,0.5719,0.19811162762442794,4.866666666666666,5.0,0.35186577527449847
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2020-05-01,0.4158,0.4158,0.588029999234733,5.0,5.0,0.0
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2020-03-01,0.6810833333333334,0.7444,0.26616491441710843,4.769230769230769,5.0,0.4385290096535148
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2020-02-01,0.7047285714285714,0.765,0.2191854368207106,4.695652173913044,5.0,0.5587959953568724
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2020-01-01,0.68364,0.80655,0.3315725869918146,4.333333333333333,5.0,0.9128709291752769
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2019-12-01,0.6453666666666666,0.6214,0.1845288234034636,4.7272727272727275,5.0,0.702500173314209
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2019-11-01,0.81166,0.8221,0.12863612634093113,4.523809523809524,5.0,0.8135752957807666
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2019-10-01,0.5759,0.7845,0.5050168611046566,4.444444444444445,4.5,0.6156987634551994
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2019-09-01,0.5448411764705883,0.6988,0.4824977902265765,4.484848484848484,5.0,0.8703882797784891
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2019-08-01,0.4590166666666667,0.6908,0.524682823381436,4.372093023255814,5.0,1.0915968166810772
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2019-07-01,0.6618857142857143,0.8481,0.3257793705649796,4.454545454545454,5.0,0.9264723154925929
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2019-06-01,0.7219684210526316,0.8313,0.29435806436800666,4.690476190476191,5.0,0.5625766175720356
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2019-05-01,0.6137266666666666,0.8126,0.47492996696756196,4.387096774193548,5.0,1.0223313016447166
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2019-04-01,0.549075,0.6996,0.3457587286086802,4.4,5.0,0.8811756852270121
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2019-03-01,0.44503333333333334,0.8436,0.6013372327571277,4.363636363636363,5.0,1.0021621646864367
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2019-02-01,0.7605818181818182,0.8979,0.23192900990683257,4.451612903225806,5.0,0.8500474370064829
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2019-01-01,0.57479,0.7992,0.4381597360932806,4.615384615384615,5.0,0.6373020054525533
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2018-12-01,0.7745666666666667,0.81525,0.20257119900584752,4.68,5.0,0.690410505906933
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2018-11-01,0.7060625,0.7275499999999999,0.24714721429891595,4.576923076923077,5.0,0.5777942140988901
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2018-10-01,0.6648785714285713,0.79045,0.305777682383715,4.545454545454546,5.0,0.7941547822570977
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2018-09-01,0.59850625,0.6309,0.283703035981288,4.5476190476190474,5.0,0.6325473452782671
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2018-08-01,0.5063846153846154,0.6716500000000001,0.46655422209411646,4.6,5.0,0.7866066361276136
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2018-07-01,0.6500190476190476,0.7687,0.3430462747488268,4.433333333333334,5.0,0.8102451327476411
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2018-06-01,0.5014736842105263,0.6588,0.42753849058964566,4.153846153846154,5.0,1.159366014102479
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2018-05-01,0.5943136363636363,0.7046,0.32118013236226556,4.733333333333333,5.0,0.44977644510880355
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2018-04-01,0.5098,0.6588,0.47832762307857574,4.419354838709677,5.0,0.8475137579369866
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2018-03-01,0.36743000000000003,0.5292,0.48134789924867344,4.16,5.0,1.1789826122551594
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2018-02-01,0.8141142857142858,0.8832,0.1821509395032174,4.526315789473684,5.0,0.6966922684794659
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2018-01-01,0.7026666666666667,0.8399,0.26728235538471296,4.6521739130434785,5.0,0.5727680517510727
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2017-12-01,0.6298083333333333,0.8072,0.34947451580475747,4.291666666666667,4.0,0.6902530516863498
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2017-11-01,0.5822333333333334,0.6249,0.27267812068444364,4.518518518518518,5.0,0.6427327695904519
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2017-10-01,0.6133545454545455,0.8042,0.48257644858330234,4.25,5.0,0.9890707100936803
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2017-09-01,0.6075533333333334,0.7374,0.3738315508099235,4.451612903225806,5.0,1.0275767506588613
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2017-08-01,0.6471473684210526,0.8126,0.394283619532411,4.304347826086956,5.0,1.0081791114543819
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2017-07-01,0.6498470588235294,0.8126,0.3371076703325791,4.454545454545454,5.0,0.7537783614444089
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2017-06-01,0.6202526315789474,0.7089,0.36326353820213575,4.486486486486487,5.0,0.8373775738585318
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2017-05-01,0.6260307692307693,0.7906,0.35761604965990973,4.16,5.0,1.2138094304022082
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2017-04-01,0.6473461538461538,0.7073,0.31846876512300915,4.478260869565218,5.0,0.9472239447886799
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2017-03-01,0.6639142857142858,0.807,0.33096121841575044,4.071428571428571,4.0,0.7300459115473716
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2017-02-01,0.23429999999999998,0.0,0.3995372022728297,4.846153846153846,5.0,0.37553380809940534
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2017-01-01,0.36989999999999995,0.2263,0.45887319599209536,4.0,4.0,0.7071067811865475
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2016-12-01,0.5330833333333334,0.6759,0.4291637608963118,4.444444444444445,4.0,0.5270462766947299
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2016-11-01,0.4722,0.5684,0.3589627232271712,3.875,4.0,1.3562026818605373
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2016-10-01,0.7574666666666667,0.8676,0.27882075484678925,4.4,4.0,0.547722557505166
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2016-09-01,0.39,0.55375,0.5875623784513679,4.142857142857143,4.0,0.9492622930986465
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2016-08-01,0.6642857142857144,0.66385,0.22933525629571172,4.333333333333333,4.0,0.7019641181630338
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2016-07-01,0.7603,0.7906,0.15519676220849452,4.4,5.0,0.9660917830792958
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2016-06-01,0.6125166666666667,0.68255,0.2934414261927934,4.571428571428571,5.0,0.6462061726588639
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2016-05-01,0.7176,0.7346,0.20931973151138908,4.714285714285714,5.0,0.48795003647426655
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2016-04-01,0.8176,0.8176,0.0,5.0,5.0,0.0
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2016-03-01,0.33835000000000004,0.33835000000000004,0.14432049404017436,4.333333333333333,4.0,0.5773502691896258
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2016-02-01,,,,5.0,5.0,0.0
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2016-01-01,0.9615,0.9615,0.0,4.5,4.5,0.7071067811865476
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2015-12-01,0.6249,0.6249,0.0,5.0,5.0,0.0
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2015-11-01,0.9761,0.9761,0.0,4.0,4.0,0.0
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2015-10-01,0.8113,0.8113,0.0,5.0,5.0,0.0
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2015-09-01,0.7495,0.7495,0.0,4.5,4.5,0.7071067811865476
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2015-08-01,,,,5.0,5.0,0.0
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2015-07-01,0.89005,0.89005,0.09553012613830257,4.5,4.5,0.5773502691896258
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2015-05-01,0.9295500000000001,0.9295500000000001,0.060457629791449786,5.0,5.0,0.0
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2015-04-01,0.8238,0.8238,0.023193102422918718,4.666666666666667,5.0,0.5773502691896258
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2015-03-01,,,,5.0,5.0,0.0
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2015-02-01,0.936,0.936,0.0,5.0,5.0,0.0
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2015-01-01,0.7096,0.7096,0.0,4.5,4.5,0.7071067811865476
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2014-10-01,0.0,0.0,0.0,5.0,5.0,0.0
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2014-08-01,0.46975,0.46975,0.3516442022840701,4.0,4.0,0.0
De Ceuvel,De Ceuvel,52.3922115,4.9037356,unofficial,2014-07-01,0.88315,0.88315,0.08987327188881018,4.5,4.5,0.7071067811865476
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2023-11-01,0.46731999999999996,0.5994,0.2796012106554619,4.8,5.0,0.42163702135578385
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2023-10-01,0.3728,0.42755,0.27270649668340013,4.7272727272727275,5.0,0.4670993664969138
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2023-09-01,0.4352857142857142,0.5994,0.5130254815912215,4.695652173913044,5.0,0.5587959953568722
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2023-08-01,0.49912,0.8074,0.5969636395962488,4.733333333333333,5.0,0.5936168397046637
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2023-07-01,0.5704,0.6407499999999999,0.26893916701654963,4.681818181818182,5.0,0.47673129462279645
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2023-06-01,0.5229916666666666,0.5075000000000001,0.26952487980394935,4.695652173913044,5.0,0.7648400075533118
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2023-05-01,0.6930000000000001,0.9046000000000001,0.46344452382854484,4.818181818181818,5.0,0.4045199174779454
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2023-04-01,0.6951666666666667,0.802,0.23889345602869358,4.285714285714286,4.0,0.7559289460184543
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2023-03-01,0.496925,0.5164500000000001,0.39806926846969737,4.5,5.0,0.8366600265340756
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2023-02-01,0.18783333333333332,0.2023,0.18103403915654462,4.666666666666667,5.0,0.816496580927726
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2023-01-01,0.82745,0.9252,0.22317744061620565,5.0,5.0,0.0
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2022-12-01,0.13795,0.13795,0.6136979753918046,4.25,4.5,0.9574271077563381
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2022-11-01,0.668525,0.6919500000000001,0.1994324008279497,4.444444444444445,5.0,0.7264831572567789
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2022-10-01,0.53196,0.4927,0.36376999326497506,4.777777777777778,5.0,0.4409585518440987
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2022-09-01,0.54758,0.5719,0.33469219739934186,4.666666666666667,5.0,0.4879500364742665
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2022-08-01,0.55282,0.5859,0.29819547567708954,4.696969696969697,5.0,0.58549383455595
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2022-07-01,0.5372444444444445,0.4939,0.25188656728332653,4.7272727272727275,5.0,0.45584230583855206
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2022-06-01,0.760625,0.80145,0.1418522244148063,4.684210526315789,5.0,0.47756693294091934
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2022-05-01,0.44104,0.5994,0.4186671088108069,4.777777777777778,5.0,0.5483188805533162
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2022-04-01,0.6162500000000001,0.6411500000000001,0.2081040204641259,4.833333333333333,5.0,0.38924947208076155
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2022-03-01,0.5596833333333334,0.5994,0.3303393613644409,4.588235294117647,5.0,0.7122871199007256
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2022-02-01,0.4899,0.4899,0.15485638507985394,4.5,4.5,0.5477225575051661
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2022-01-01,0.4555285714285714,0.5719,0.4256117546711859,4.2727272727272725,5.0,0.9045340337332909
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2021-12-01,0.7717,0.7717,0.0,5.0,5.0,0.0
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2021-11-01,0.69675,0.7137,0.24138590817747976,5.0,5.0,0.0
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2021-10-01,0.5964333333333333,0.8225,0.5215411425125859,4.7272727272727275,5.0,0.6466697906828632
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2021-09-01,0.628625,0.6479,0.2865731557062325,4.619047619047619,5.0,0.49761335152811914
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2021-08-01,0.50892,0.5994,0.28821104593682734,4.5,5.0,0.6725927091345494
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2021-07-01,0.44998461538461537,0.5719,0.3129239280457628,4.407407407407407,5.0,0.8439494725697223
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2021-06-01,0.4017888888888889,0.5994,0.4793617852010224,4.548387096774194,5.0,0.9251561914047941
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2021-05-01,0.4796,0.59265,0.4574819909023742,4.571428571428571,5.0,0.690065559342354
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2021-04-01,0.58367,0.59265,0.2727419620976737,4.863636363636363,5.0,0.35125008665710444
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2021-03-01,0.27587272727272727,0.0,0.3429473664891133,4.516129032258065,5.0,0.8896054459491386
Erasmuspark,Erasmuspark,52.3765421,4.8448668,unofficial,2021-02-01,0.627675,0.6996,0.2661131001011685,4.333333333333333,5.0,0.9222660747548282
